x	Disp
6.05	-0.01552633
6.055	-0.01665726
6.06	-0.01778815
6.065	-0.0189189
6.07	-0.02004942
6.075	-0.02117961
6.08	-0.02230938
6.085	-0.02343864
6.09	-0.02456729
6.095	-0.02569524
6.1	-0.0268224
6.105	-0.02794867
6.11	-0.02907395
6.115	-0.03019816
6.12	-0.03132119
6.125	-0.03244296
6.13	-0.03356337
6.135	-0.03468232
6.14	-0.03579973
6.145	-0.03691549
6.15	-0.03802951
6.155	-0.0391417
6.16	-0.04025197
6.165	-0.04136021
6.17	-0.04246634
6.175	-0.04357026
6.18	-0.04467187
6.185	-0.04577109
6.19	-0.04686782
6.195	-0.04796196
6.2	-0.04905342
6.205	-0.05014211
6.21	-0.05122793
6.215	-0.05231079
6.22	-0.05339059
6.225	-0.05446725
6.23	-0.05554066
6.235	-0.05661074
6.24	-0.05767739
6.245	-0.05874052
6.25	-0.05980003
6.255	-0.06085584
6.26	-0.06190784
6.265	-0.06295595
6.27	-0.06400008
6.275	-0.06504013
6.28	-0.06607601
6.285	-0.06710763
6.29	-0.06813489
6.295	-0.06915772
6.3	-0.070176
6.305	-0.07118966
6.31	-0.0721986
6.315	-0.07320273
6.32	-0.07420196
6.325	-0.07519621
6.33	-0.07618537
6.335	-0.07716937
6.34	-0.07814811
6.345	-0.0791215
6.35	-0.08008945
6.355	-0.08105188
6.36	-0.0820087
6.365	-0.08295981
6.37	-0.08390514
6.375	-0.08484459
6.38	-0.08577808
6.385	-0.08670551
6.39	-0.08762682
6.395	-0.08854189
6.4	-0.08945066
6.405	-0.09035304
6.41	-0.09124894
6.415	-0.09213828
6.42	-0.09302097
6.425	-0.09389693
6.43	-0.09476607
6.435	-0.09562832
6.44	-0.09648359
6.445	-0.0973318
6.45	-0.09817286
6.455	-0.0990067
6.46	-0.09983323
6.465	-0.1006524
6.47	-0.1014641
6.475	-0.1022682
6.48	-0.1030647
6.485	-0.1038535
6.49	-0.1046346
6.495	-0.1054078
6.5	-0.106173
6.505	-0.1069303
6.51	-0.1076794
6.515	-0.1084204
6.52	-0.1091532
6.525	-0.1098776
6.53	-0.1105937
6.535	-0.1113013
6.54	-0.1120004
6.545	-0.1126909
6.55	-0.1133728
6.555	-0.1140459
6.56	-0.1147101
6.565	-0.1153656
6.57	-0.116012
6.575	-0.1166495
6.58	-0.1172779
6.585	-0.1178971
6.59	-0.1185071
6.595	-0.1191079
6.6	-0.1196993
6.605	-0.1202813
6.61	-0.1208539
6.615	-0.1214169
6.62	-0.1219703
6.625	-0.1225141
6.63	-0.1230482
6.635	-0.1235726
6.64	-0.1240871
6.645	-0.1245917
6.65	-0.1250864
6.655	-0.1255711
6.66	-0.1260457
6.665	-0.1265103
6.67	-0.1269647
6.675	-0.1274089
6.68	-0.1278429
6.685	-0.1282665
6.69	-0.1286798
6.695	-0.1290827
6.7	-0.1294752
6.705	-0.1298571
6.71	-0.1302285
6.715	-0.1305893
6.72	-0.1309395
6.725	-0.131279
6.73	-0.1316078
