Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10	DOF 11	DOF 12	DOF 13	DOF 14	DOF 15	DOF 16	DOF 17	DOF 18
1.900950521230697632e-01	5.487580299377441406e-01	5.433736443519592285e-01	4.255790710449218750e-01	5.365036129951477051e-01	4.164558351039886475e-01	2.228834182024002075e-01	5.304006338119506836e-01	4.089393317699432373e-01	2.139454632997512817e-01	5.275213718414306641e-01	4.025503993034362793e-01	2.058611065149307251e-01	5.280486941337585449e-01	3.983311653137207031e-01	1.990962177515029907e-01	3.969688117504119873e-01	1.947773844003677368e-01	1.928084045648574829e-01
1.950975507497787476e-01	5.733249783515930176e-01	5.676728487014770508e-01	4.389950931072235107e-01	5.602658987045288086e-01	4.299224019050598145e-01	2.267082333564758301e-01	5.536814928054809570e-01	4.223400056362152100e-01	2.180602699518203735e-01	5.504315495491027832e-01	4.158612489700317383e-01	2.100921869277954102e-01	5.507569909095764160e-01	4.116272628307342529e-01	2.034471184015274048e-01	4.102555811405181885e-01	1.992145329713821411e-01	1.972232460975646973e-01
2.001000642776489258e-01	5.980555415153503418e-01	5.921013355255126953e-01	4.522911310195922852e-01	5.841467976570129395e-01	4.432791173458099365e-01	2.303760051727294922e-01	5.770906805992126465e-01	4.356463551521301270e-01	2.220319062471389771e-01	5.734763741493225098e-01	4.290754795074462891e-01	2.141871601343154907e-01	5.736144185066223145e-01	4.248444437980651855e-01	2.076668292284011841e-01	4.234862923622131348e-01	2.035306841135025024e-01	2.015139162540435791e-01
2.051025629043579102e-01	6.228247880935668945e-01	6.165484189987182617e-01	4.654919505119323730e-01	6.080334186553955078e-01	4.565501511096954346e-01	2.339561581611633301e-01	6.005126833915710449e-01	4.488753974437713623e-01	2.259105294942855835e-01	5.965431928634643555e-01	4.422100484371185303e-01	2.181960046291351318e-01	5.965055227279663086e-01	4.379900097846984863e-01	2.118080109357833862e-01	4.366589486598968506e-01	2.077748626470565796e-01	2.057316750288009644e-01
2.101050615310668945e-01	6.474878787994384766e-01	6.408862471580505371e-01	4.785986542701721191e-01	6.317942738533020020e-01	4.697372317314147949e-01	2.374997138977050781e-01	6.238131523132324219e-01	4.620241820812225342e-01	2.297323644161224365e-01	6.195020079612731934e-01	4.552632272243499756e-01	2.221543639898300171e-01	6.192981600761413574e-01	4.510518610477447510e-01	2.159093171358108521e-01	4.497510194778442383e-01	2.119826078414916992e-01	2.099139392375946045e-01
2.151075601577758789e-01	6.719772219657897949e-01	6.650502085685729980e-01	4.915671348571777344e-01	6.553655266761779785e-01	4.827981591224670410e-01	2.409836351871490479e-01	6.469269394874572754e-01	4.750508964061737061e-01	2.334784865379333496e-01	6.422871947288513184e-01	4.681929945945739746e-01	2.260456830263137817e-01	6.419246196746826172e-01	4.639863073825836182e-01	2.199549973011016846e-01	4.627165198326110840e-01	2.161363512277603149e-01	2.140420824289321899e-01
2.201100587844848633e-01	6.962381005287170410e-01	6.889859437942504883e-01	5.043588876724243164e-01	6.786933541297912598e-01	4.956966340541839600e-01	2.443881183862686157e-01	6.697987914085388184e-01	4.879198074340820312e-01	2.371323257684707642e-01	6.648432612419128418e-01	4.809641242027282715e-01	2.298561036586761475e-01	6.643288731575012207e-01	4.767561554908752441e-01	2.239312380552291870e-01	4.755164384841918945e-01	2.202206850051879883e-01	2.180999666452407837e-01
2.251125574111938477e-01	7.202248573303222656e-01	7.126500010490417480e-01	5.169431567192077637e-01	7.017337679862976074e-01	5.084036588668823242e-01	2.476963102817535400e-01	6.923851966857910156e-01	5.006024241447448730e-01	2.406799346208572388e-01	6.871255040168762207e-01	4.935477077960968018e-01	2.335745394229888916e-01	6.864652037620544434e-01	4.893317818641662598e-01	2.278271764516830444e-01	4.881186485290527344e-01	2.242232263088226318e-01	2.220738828182220459e-01
2.301150709390640259e-01	7.438917160034179688e-01	7.359973788261413574e-01	5.292878150939941406e-01	7.244429588317871094e-01	5.208889245986938477e-01	2.508908212184906006e-01	7.146400213241577148e-01	5.130688548088073730e-01	2.441075593233108521e-01	7.090879678726196289e-01	5.059146881103515625e-01	2.371895760297775269e-01	7.082857489585876465e-01	5.016821026802062988e-01	2.316312938928604126e-01	5.004893541336059570e-01	2.281310558319091797e-01	2.259503006935119629e-01
2.351175695657730103e-01	7.671331763267517090e-01	7.589271664619445801e-01	5.413226485252380371e-01	7.467207312583923340e-01	5.330845713615417480e-01	2.539382278919219971e-01	7.364640235900878906e-01	5.252521634101867676e-01	2.473857104778289795e-01	7.306299805641174316e-01	5.179988145828247070e-01	2.406747788190841675e-01	7.296904325485229492e-01	5.137391686439514160e-01	2.353167384862899780e-01	5.125592350959777832e-01	2.319158315658569336e-01	2.297001779079437256e-01
