t	Acceleration
5.21	-0.167463
5.215	-0.133939
5.22	-0.100209
5.225	-0.0671849
5.23	-0.0371984
5.235	-0.0351781
5.24	-0.0544719
5.245	-0.0781441
5.25	-0.0948856
5.255	-0.0892747
5.26	-0.0654612
5.265	-0.0252474
5.27	0.0267264
5.275	0.0749466
5.28	0.0719761
5.285	0.0288203
5.29	-0.0441101
5.295	-0.127704
5.3	-0.196055
5.305	-0.233949
5.31	-0.236592
5.315	-0.199571
5.32	-0.141291
5.325	-0.0752103
5.33	-0.00769623
5.335	0.0527867
5.34	0.0322754
5.345	-0.0483964
5.35	-0.129391
5.355	-0.164043
5.36	-0.0780333
5.365	0.032019
5.37	0.115877
5.375	0.15273
5.38	0.141262
5.385	0.115657
5.39	0.0794442
5.395	0.037377
5.4	0.000506292
5.405	0.0055089
5.41	0.0345882
5.415	0.0696232
5.42	0.0825477
5.425	0.0385266
5.43	-0.0203208
5.435	-0.0705418
5.44	-0.0877967
5.445	-0.0403068
5.45	0.0192415
5.455	0.0720123
5.46	0.102456
5.465	0.0964226
5.47	0.0770284
5.475	0.0584635
5.48	0.049071
5.485	0.0570098
5.49	0.0645373
5.495	0.0684559
5.5	0.0705137
5.505	0.0802545
5.51	0.0950319
5.515	0.100549
5.52	0.0936147
5.525	0.0728029
5.53	0.0455741
5.535	0.0160306
5.54	-0.00864022
5.545	-0.0191322
5.55	0.0125054
5.555	0.0634058
5.56	0.122981
5.565	0.180619
5.57	0.213916
5.575	0.208522
5.58	0.167281
5.585	0.0962946
5.59	0.0301065
5.595	0.0164838
5.6	0.049716
5.605	0.120682
5.61	0.198704
5.615	0.235064
5.62	0.233643
5.625	0.196642
5.63	0.127357
5.635	0.0436028
5.64	-0.0259173
5.645	-0.0705394
5.65	-0.0785031
5.655	-0.0664943
5.66	-0.0713971
5.665	-0.0982543
5.67	-0.149809
5.675	-0.206089
5.68	-0.24225
5.685	-0.256638
5.69	-0.248914
5.695	-0.225725
5.7	-0.202865
5.705	-0.182247
5.71	-0.164175
5.715	-0.145482
5.72	-0.119527
5.725	-0.0889082
5.73	-0.0570515
5.735	-0.0325917
5.74	-0.0123838
5.745	0.0181695
5.75	0.0632242
5.755	0.126429
5.76	0.194368
5.765	0.252186
5.77	0.296101
5.775	0.323024
5.78	0.32432
5.785	0.306204
5.79	0.273986
5.795	0.232907
5.8	0.189441
5.805	0.133848
5.81	0.0689793
5.815	-0.000357831
5.82	-0.0512992
5.825	-0.0805089
5.83	-0.104598
5.835	-0.133152
5.84	-0.181436
5.845	-0.240731
5.85	-0.288162
5.855	-0.312987
5.86	-0.300524
5.865	-0.268541
5.87	-0.247452
5.875	-0.243397
5.88	-0.260625
5.885	-0.288746
5.89	-0.313354
5.895	-0.329211
5.9	-0.3314
5.905	-0.309027
5.91	-0.284729
5.915	-0.271084
5.92	-0.275987
5.925	-0.295795
5.93	-0.293822
5.935	-0.267946
5.94	-0.219259
5.945	-0.157894
5.95	-0.0892828
5.955	-0.0176767
5.96	0.0475988
5.965	0.082292
5.97	0.0578641
5.975	0.00945342
5.98	-0.046329
5.985	-0.088183
5.99	-0.10977
5.995	-0.11943
6	-0.116447
6.005	-0.0997628
6.01	-0.0740376
6.015	-0.0460581
6.02	-0.0130996
6.025	0.0264664
6.03	0.0665205
6.035	0.0908824
6.04	0.106204
6.045	0.119636
6.05	0.155135
6.055	0.21068
6.06	0.271514
6.065	0.329914
6.07	0.374888
6.075	0.396494
6.08	0.408281
6.085	0.420328
6.09	0.449491
6.095	0.496501
6.1	0.535045
6.105	0.55976
6.11	0.566728
6.115	0.567868
6.12	0.565664
6.125	0.548213
6.13	0.502409
6.135	0.374203
6.14	0.223907
6.145	0.118827
6.15	0.106803
6.155	0.243836
6.16	0.389335
6.165	0.478347
6.17	0.483363
6.175	0.394633
6.18	0.296009
6.185	0.224412
6.19	0.190751
6.195	0.201204
6.2	0.211138
6.205	0.183508
6.21	0.11037
6.215	-0.0135594
6.22	-0.141703
6.225	-0.236824
6.23	-0.309667
6.235	-0.375149
6.24	-0.463103
6.245	-0.519055
6.25	-0.530903
6.255	-0.492953
6.26	-0.436189
6.265	-0.384062
6.27	-0.330611
6.275	-0.276914
6.28	-0.245016
6.285	-0.257552
6.29	-0.278468
6.295	-0.283909
6.3	-0.22952
6.305	-0.13309
6.31	-0.044699
6.315	0.0198792
6.32	0.0454632
6.325	0.0300228
6.33	-0.00950323
6.335	-0.0618453
6.34	-0.113678
6.345	-0.128324
6.35	-0.1105
6.355	-0.0528045
6.36	0.0498246
6.365	0.18771
6.37	0.253999
6.375	0.223505
6.38	0.087241
6.385	-0.116182
6.39	-0.247977
6.395	-0.280717
6.4	-0.213821
6.405	-0.0858806
6.41	0.0453008
6.415	0.201248
6.42	0.36635
6.425	0.490172
6.43	0.418462
6.435	0.2627
6.44	0.0888198
6.445	-0.0186939
6.45	-0.0522085
6.455	-0.0792619
6.46	-0.0962489
6.465	-0.0968395
6.47	-0.0682145
6.475	-0.0299327
6.48	0.0151528
6.485	0.0639271
6.49	0.105144
6.495	0.133622
6.5	0.153976
6.505	0.168989
6.51	0.182759
6.515	0.203918
6.52	0.235455
6.525	0.27755
6.53	0.328361
6.535	0.353774
6.54	0.335252
6.545	0.271811
6.55	0.166844
6.555	0.049265
6.56	-0.0687237
6.565	-0.176954
6.57	-0.264358
6.575	-0.279261
6.58	-0.268599
6.585	-0.25176
6.59	-0.243508
6.595	-0.223129
6.6	-0.176402
6.605	-0.118741
6.61	-0.0596869
6.615	-0.00887183
6.62	0.0592816
6.625	0.161008
6.63	0.289427
6.635	0.398666
6.64	0.372904
6.645	0.28874
6.65	0.199717
6.655	0.194864
6.66	0.264879
6.665	0.317714
6.67	0.340399
6.675	0.327585
6.68	0.321641
6.685	0.319291
6.69	0.302109
6.695	0.252072
6.7	0.151313
6.705	0.0665976
6.71	0.0241399
6.715	0.0411585
6.72	0.125053
6.725	0.20661
6.73	0.249195
6.735	0.237533
6.74	0.169267
6.745	0.1441
6.75	0.179761
6.755	0.26821
6.76	0.375013
6.765	0.450689
6.77	0.509243
6.775	0.548894
6.78	0.563234
6.785	0.505398
6.79	0.378673
6.795	0.184094
6.8	-0.0742015
6.805	-0.27048
6.81	-0.301588
6.815	-0.218219
6.82	-0.0738582
6.825	-0.0318059
