x	Dis
3.995	-0.004480272
4	-0.006522532
4.005	-0.008502281
4.01	-0.010414215
4.015	-0.012248713
4.02	-0.013993243
4.025	-0.015633974
4.03	-0.017158369
4.035	-0.018557547
4.04	-0.019828314
4.045	-0.020974273
4.05	-0.02200445
4.055	-0.02293176
4.06	-0.02376903
4.065	-0.024525492
4.07	-0.025203532
4.075	-0.025796739
4.08	-0.02629004
4.085	-0.02666215
4.09	-0.02688936
4.095	-0.026950201
4.1	-0.026829762
4.105	-0.026522471
4.11	-0.026032396
4.115	-0.025371544
4.12	-0.024556616
4.125	-0.023604557
4.13	-0.022529179
4.135	-0.021338241
4.14	-0.020033021
4.145	-0.018608041
4.15	-0.017053947
4.155	-0.015358436
4.16	-0.013511378
4.165	-0.011506408
4.17	-0.009345336
4.175	-0.007039504
4.18	-0.00461101
4.185	-0.002089922
4.19	0.000489701
4.195	0.003096625
4.2	0.005707449
4.205	0.008309655
4.21	0.010901194
4.215	0.013484488
4.22	0.016060982
4.225	0.018623365
4.23	0.02115423
4.235	0.02362744
4.24	0.02601509
4.245	0.028295131
4.25	0.030456355
4.255	0.032499649
4.26	0.034433097
4.265	0.036264051
4.27	0.037990175
4.275	0.039594967
4.28	0.041047372
4.285	0.042307764
4.29	0.043336332
4.295	0.044101983
4.3	0.044587646
4.305	0.044790912
4.31	0.04472037
4.315	0.044389166
4.32	0.043808259
4.325	0.042982467
4.33	0.041909035
4.335	0.040580582
4.34	0.038989067
4.345	0.037131082
4.35	0.035011757
4.355	0.032645635
4.36	0.030057121
4.365	0.027276941
4.37	0.024338935
4.375	0.021276772
4.38	0.01812117
4.385	0.014897669
4.39	0.01162762
4.395	0.008327843
4.4	0.005012261
4.405	0.001693709
4.41	-0.001615527
4.415	-0.00490186
4.42	-0.008150485
4.425	-0.011344538
4.43	-0.014466042
4.435	-0.017494928
4.44	-0.020410405
4.445	-0.023191394
4.45	-0.025816433
4.455	-0.028264571
4.46	-0.030516054
4.465	-0.032553367
4.47	-0.034360651
4.475	-0.035925373
4.48	-0.037238307
4.485	-0.038293652
4.49	-0.039088663
4.495	-0.039624434
4.5	-0.03990436
4.505	-0.03993392
4.51	-0.039720304
4.515	-0.039271574
4.52	-0.038596082
4.525	-0.03770265
4.53	-0.036599949
4.535	-0.035297155
4.54	-0.033804037
4.545	-0.032131121
4.55	-0.030290479
4.555	-0.028295964
4.56	-0.02616276
4.565	-0.023908148
4.57	-0.021550464
4.575	-0.019109247
4.58	-0.016604029
4.585	-0.014054217
4.59	-0.011478697
4.595	-0.008894777
4.6	-0.006318773
4.605	-0.003765411
4.61	-0.001248276
4.615	0.001219749
4.62	0.003625995
4.625	0.005957926
4.63	0.008202412
4.635	0.010344979
4.64	0.012370704
4.645	0.014263448
4.65	0.016006755
4.655	0.017584199
4.66	0.018980365
4.665	0.020181427
4.67	0.021176146
4.675	0.021956375
4.68	0.022517109
4.685	0.022856807
4.69	0.0229763
4.695	0.022878535
4.7	0.022567399
4.705	0.022047149
4.71	0.021321984
4.715	0.020396153
4.72	0.019274386
4.725	0.017963178
4.73	0.016471688
4.735	0.014812588
4.74	0.013002488
4.745	0.011062136
4.75	0.009014076
4.755	0.006881821
4.76	0.004687282
4.765	0.002449699
4.77	0.000183883
4.775	-0.002099358
4.78	-0.004391655
4.785	-0.006686245
4.79	-0.008974896
4.795	-0.01124724
4.8	-0.013488735
4.805	-0.015682636
4.81	-0.017810252
4.815	-0.019853992
4.82	-0.021798192
4.825	-0.023631847
4.83	-0.025347883
4.835	-0.026941633
4.84	-0.028410053
4.845	-0.029747875
4.85	-0.03094553
4.855	-0.031988528
4.86	-0.032857228
4.865	-0.033528388
4.87	-0.033978533
4.875	-0.034186874
4.88	-0.034139059
4.885	-0.033829223
4.89	-0.033261165
4.895	-0.032447878
4.9	-0.031409729
4.905	-0.030171718
4.91	-0.028759921
4.915	-0.027198596
4.92	-0.025507718
